method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
online,109,single-output,off,2532,90,1,1,3,11,217.31592449039863,3.621932074839977,217.4303068307306,3.623838447178843,1649.2301448793628,1965.4823097658088,2168.727032188612,508.11180605700815,1649.2301448793628,2168.727032188612,0.0,
offline,109,single-output,off,2532,90,1,1,3,9,548.296076416957,9.138267940282617,548.3378673803053,9.138964456338421,3230.785034872834,4051.0614830223576,4619.696889028792,1421.5885150160852,3230.785034872834,4619.696889028792,0.0,
offline,109,multi-output,off,2532,90,2,2,3,8,596.0493369925856,9.934155616543093,596.0698553512954,9.934497589188256,4018.933580109632,5382.376585708788,6223.169722206199,2101.9828412435245,4018.933580109632,6223.169722206199,0.0,
offline,109,single-output,on,2532,90,1,1,3,9,1362.8897597857683,22.714829329762804,1362.9643525955787,22.716072543259646,3943.044706367517,4578.75079963944,4880.2249540494095,753.6853860249237,3943.044706367517,4880.2249540494095,0.0,
offline,109,multi-output,on,2532,90,2,2,3,8,1832.5786300110813,30.542977166851355,1832.627549934945,30.54379249891575,3345.760623748596,5892.056715598799,7221.227724292198,3322.9275217334966,3345.760623748596,7221.227724292198,0.0,
online,111,single-output,off,2124,90,1,1,2,5,124.54601028019152,2.075766838003192,124.61156398578515,2.076859399763086,1653.019096451018,1889.3868888709533,2026.4275891722475,342.60175075323497,1653.019096451018,2026.4275891722475,0.0,
offline,111,single-output,off,2124,90,1,1,2,5,264.68471586863893,4.411411931143983,264.7048900587079,4.411748167645132,3221.182313013146,3732.993916335239,4196.762514138542,1159.4214945082588,3221.182313013146,4196.762514138542,0.0,
offline,111,multi-output,off,2124,90,2,2,2,2,50.75685048991671,0.8459475081652784,50.7585977400195,0.8459766290003251,4021.5993074226303,4660.374752162223,5113.586065530055,1133.0282834195796,4021.5993074226303,5113.586065530055,0.0,
offline,111,single-output,on,2124,90,1,1,2,5,717.3821017141494,11.95636836190249,717.4213650120723,11.957022750201206,3925.9974580453086,4236.875114369654,4446.491114801816,524.0400010804065,3925.9974580453086,4446.491114801816,0.0,
offline,111,multi-output,on,2124,90,2,2,2,2,768.5549998092938,12.809249996821563,768.5639807257377,12.809399678762295,3351.9099194706614,4119.671986030559,4980.560242484499,2152.2206411348498,3351.9099194706614,4980.560242484499,0.0,
online,112,single-output,off,2539,90,1,1,2,2,98.8076075003118,1.64679345833853,98.85961402222216,1.6476602337037027,1647.0594213216414,1878.6266631296223,2014.2083276682963,338.95416134668534,1647.0594213216414,2014.2083276682963,0.0,
offline,112,single-output,off,2539,90,1,1,2,2,221.4434476617594,3.6907241276959897,221.4603260152676,3.6910054335877933,3215.2837938789985,4262.254881428262,4728.330906052035,1165.1900615594343,3215.2837938789985,4728.330906052035,0.0,
offline,112,multi-output,off,2539,90,2,2,2,3,198.3188006120889,3.3053133435348148,198.32562752395225,3.3054271253992042,4020.220890803657,5175.034344731526,5824.114216407391,1622.6996791896622,4020.220890803657,5824.114216407391,0.0,
offline,112,single-output,on,2539,90,1,1,2,2,465.339849717102,7.7556641619517,465.3653183998461,7.756088639997435,3929.791662242531,4451.644339404477,4707.863611629355,640.5481805621945,3929.791662242531,4707.863611629355,0.0,
