record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
113,HDP-GPC,nan,1794,2,3,0.9972129319955407,0.004100901940844562,0.01483969804146172,0.01577513520649703,0.25350989403894186,0.008140857780890829,0.015775135206497027,0.16616109013557434,,,,,,,
114,CAE+DPGMM,0.5460041642189025,1879,5,21,0.9909526343799894,0.019250506918801466,0.10159544783951924,0.10983358841352465,0.7519091205447287,0.05924374899806303,0.10983358841352464,0.12990877032279968,,,,,,,
114,CAE+DBSCAN,0.5294334371884664,1879,5,3,0.9893560404470463,0.247973241953498,0.3220526671328745,0.32582698715060954,0.6546884915697532,0.21688290336057098,0.32582698715060954,0.130480095744133,0.6102614998817444,0.5847574356301011,10.0,0.8658861096327833,2.0,,
114,DEC,0.8337855180104573,1879,5,4,0.9909526343799894,0.045533891955320906,0.16543360116419922,0.1694087774161764,0.6895606739155912,0.09656643534938167,0.1694087774161764,0.3592936396598816,,,,,,4,0.3838840425014496
114,HDP-GPC,nan,1879,5,4,0.9909526343799894,0.7252394995863678,0.6607334188430481,0.6634128754756722,0.6942473180493879,0.6352009312199799,0.6634128754756722,0.22706292569637299,,,,,,,
115,CAE+DPGMM,0.5961662650108337,1952,1,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08692658692598343,,,,,,,
115,CAE+DBSCAN,0.562246016661326,1952,1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17303693294525146,0.2405322790145874,0.54194285890812,5.0,0.9795081967213115,2.0,,
115,DEC,0.8894667188326517,1952,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44754117727279663,,,,,,2,0.4476953446865082
115,HDP-GPC,nan,1952,1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2289787083864212,,,,,,,
116,CAE+DPGMM,0.6850633819897969,2411,3,25,0.9991704686851929,0.12609255239770198,0.27094185609493904,0.2742624807148526,0.978681339375201,0.15947688217235173,0.2742624807148526,0.21076801419258118,,,,,,,
116,CAE+DBSCAN,0.6833142280578612,2411,3,3,0.9950228121111572,0.5783973702985558,0.5760152562897684,0.5768832643778401,0.89482033307815,0.4256472679703234,0.57688326437784,0.5979531407356262,0.7637169361114502,0.37902369241015055,10.0,0.9398589796764828,2.0,,
